Period,"Gini per capita, all income","Gini per capita, labour income","Gini per capita, labour and pension income","Gini per capita, labour and family benefits income","Decile ratio, all income","Decile ratio, labour income","Decile ratio, labour and pension income","Decile ratio, labour and familiy benefits income","Top 10%, share of all income","Top 10%, share of labour income","Top 10%, share of labour and pension income","Top 10%, share of labour and familiy benefits income","Bottom 10%, share of all income","Bottom 10%, share of labour income","Bottom 10%, share of labour and pension income","Bottom 10%, share of labour and familiy benefits income","Gini per capita, labour and IFE income","Decile ratio, labour and IFE income","Top 10%, share of labour and IFE income","Bottom 10%, share of labour and IFE income","Gini per capita, measure IFE impact","Decile ratio,  measure IFE impact"
49,0.42817219371430065,0.50055607465034413,0.44246191193838946,0.48436877578900417,8.694411216970725,15.218340273297052,10.900484348094883,11.453733917044515,0.2169423439393149,0.23876214539827073,0.22560242053114307,0.22671498357306305,0.037903715152367484,0.03106273012256896,0.02724069760023812,0.04488256452533273,0.50055607465034413,15.218340273297052,0.23876214539827073,0.03106273012256896,0.50055607465034413,15.218340273297052
50,0.42133296133191106,0.47349082241578611,0.43232125137004168,0.46686896666455313,8.585530821888849,13.159903128570487,10.43763206227555,10.831144587913549,0.2157604685908676,0.22994476250262996,0.222335043850755,0.22080810316527352,0.04299338616376078,0.033596028426824846,0.03128775917972233,0.04923039133428525,0.47349082241578611,13.159903128570487,0.22994476250262996,0.033596028426824846,0.47349082241578611,13.159903128570487
51,0.4231106672659587,0.47820969728042895,0.43575458458456379,0.46639151921775046,8.460884698538544,13.62373960145713,10.420041046024224,10.582626823084091,0.2187153096972553,0.2421848725196439,0.2265287005600745,0.23119580898418746,0.043740076388143666,0.03118557235247301,0.03085742841750516,0.0481177458786493,0.47820969728042895,13.62373960145713,0.2421848725196439,0.03118557235247301,0.47820969728042895,13.62373960145713
52,0.42109748669952252,0.47258352555785887,0.43305288160467115,0.46169438724619599,8.527898604859804,12.726254389454766,10.377417699319809,10.205996640249738,0.2151761119506496,0.22827833890468732,0.222267639502594,0.2185213735960391,0.045093232528952164,0.03369329401464787,0.03124707061276168,0.052137589185816804,0.47258352555785887,12.726254389454766,0.22827833890468732,0.03369329401464787,0.47258352555785887,12.726254389454766
53,0.42088560368114769,0.47658406281738008,0.43399714428974767,0.46252477452032015,8.361351524411303,12.97640587936658,10.285174038193393,10.149520519526826,0.2166751764082715,0.23926409891717365,0.22442597772657877,0.22838007192572646,0.044456660858857945,0.03306858006649792,0.031734247502512754,0.049765470979599095,0.47658406281738008,12.97640587936658,0.23926409891717365,0.03306858006649792,0.47658406281738008,12.97640587936658
54,0.42247771080919144,0.47824981829094187,0.43518642338496993,0.46591934435585797,8.431408115198252,13.214335163115926,10.251057438569823,10.29818012895062,0.2169704937908115,0.23651259566602753,0.224682964943274,0.22568320705485173,0.04457253047380027,0.033547863986192084,0.03192278255911381,0.05034691503243082,0.47824981829094187,13.214335163115926,0.23651259566602753,0.033547863986192084,0.47824981829094187,13.214335163115926
55,0.42295928669388516,0.47640724386955807,0.43503487756879766,0.46410351814126871,8.556533456078705,12.659557834214851,10.141768495580248,10.104189292044401,0.21517349497100416,0.23381876362217432,0.2220398223809696,0.22433141770477447,0.04528607714855829,0.033522996952398826,0.03272569062394001,0.04997137260060386,0.47640724386955807,12.659557834214851,0.23381876362217432,0.033522996952398826,0.47640724386955807,12.659557834214851
56,0.42090816302446749,0.4781959688945126,0.43660148922948738,0.45956581200839675,8.5283512069363,12.882739221504657,10.324972524447086,9.906021763667617,0.21201691207791676,0.2285717945941575,0.22212997508561091,0.21467812643255607,0.04444229382063657,0.03310610159474324,0.03121851002620174,0.050646554916133686,0.4781959688945126,12.882739221504657,0.2285717945941575,0.03310610159474324,0.4781959688945126,12.882739221504657
57,0.41670442335875313,0.47954899698668196,0.43464638603859912,0.45879773743885299,8.27381160092179,12.858909805602423,10.619504575946083,9.770039371335196,0.21746941814181264,0.24401988919294046,0.22957575447277243,0.22704331797796068,0.04698175454577488,0.03393968801338937,0.031628129640656595,0.05403416999036001,0.47954899698668196,12.858909805602423,0.24401988919294046,0.03393968801338937,0.47954899698668196,12.858909805602423
58,0.41602997091746796,0.47708068967017642,0.43117897304905461,0.45926132436597045,8.357462957991878,12.970464833913468,10.133231109220379,10.188046307947051,0.21552032695396364,0.23900524417756966,0.22571228122245202,0.2244947610399804,0.04683348892159295,0.03566353616441588,0.03262540042625192,0.05458262385237458,0.47708068967017642,12.970464833913468,0.23900524417756966,0.03566353616441588,0.47708068967017642,12.970464833913468
59,0.41330144956791287,0.47417824231498179,0.42715482866013066,0.45756387004703192,8.162579910508994,12.905295545480453,10.02209288522737,10.121218179959682,0.21528329542160515,0.23986602679544344,0.22452290561712487,0.22676183968274485,0.04750633628832024,0.03652589832980724,0.03476083722605159,0.05334995787988184,0.47417824231498179,12.905295545480453,0.23986602679544344,0.03652589832980724,0.47417824231498179,12.905295545480453
60,0.41025113052095735,0.47219715033990117,0.42553547435212191,0.45352242965920841,8.24537470789211,12.718448331069741,10.152757523569644,10.177598876755686,0.21059807979354134,0.23220608285354594,0.22049435326218172,0.21814570303403355,0.047814103973675706,0.035250331089540426,0.03399388406742421,0.05381959639735026,0.47219715033990117,12.718448331069741,0.23220608285354594,0.035250331089540426,0.47219715033990117,12.718448331069741
61,0.41303983322958016,0.47865927216705789,0.42981329871488666,0.46014262995332955,8.362956003631297,13.52459109583054,10.282627664107322,10.55793748555627,0.2105277418623333,0.2371956058423397,0.22184711438843704,0.2210734690463759,0.04675845484861498,0.033415963582898646,0.03211087994027973,0.05284008528031309,0.47865927216705789,13.52459109583054,0.2371956058423397,0.033415963582898646,0.47865927216705789,13.52459109583054
62,0.41203624896460944,0.4778070305648815,0.42595623416853895,0.46339577904427137,8.166482986778652,13.664804389080514,10.276123390568552,10.608141521848959,0.20994338627073508,0.23662436079137328,0.21945165076760495,0.22292812543987084,0.047643188982276125,0.03567737464773946,0.032960003845213644,0.05513595925848865,0.4778070305648815,13.664804389080514,0.23662436079137328,0.03567737464773946,0.4778070305648815,13.664804389080514
63,0.41296352761531591,0.47709609029535821,0.42702485615284963,0.46303316452402582,8.268604759531499,12.92197235801891,10.186925895692951,10.38521828705748,0.21589845313463374,0.24266482888478033,0.22561685394099967,0.22881379848131053,0.04753414032329219,0.0352009418824882,0.03338321165633156,0.053849059546416514,0.47709609029535821,12.92197235801891,0.24266482888478033,0.0352009418824882,0.47709609029535821,12.92197235801891
64,0.41549878928016692,0.4819704026332835,0.43012286833612484,0.46630223941032783,8.206371178570125,13.770593382044929,10.146923771185847,10.940463843329736,0.21342609908615723,0.2417821860646441,0.2226935422488349,0.22857175166720445,0.04690094897620816,0.036302870682593615,0.03312915515652565,0.054211213039643096,0.4819704026332835,13.770593382044929,0.2417821860646441,0.036302870682593615,0.4819704026332835,13.770593382044929
65,0.41097683257496942,0.47998772772891318,0.42857317607927403,0.46053018606547547,7.85876190291036,13.303993370541463,9.863894947557219,10.411638826190119,0.2130464394731295,0.24463482594862526,0.2246459182870452,0.22800556573842995,0.049919540013022824,0.036713838748399855,0.03384399435608491,0.057682536803431536,0.47998772772891318,13.303993370541463,0.24463482594862526,0.036713838748399855,0.47998772772891318,13.303993370541463
66,0.41471365794751386,0.48100703934560374,0.43149337005823085,0.46165761031888225,7.77287782566063,13.177065543355123,9.933041007247109,9.67426820497754,0.21667957492778697,0.24808707839079194,0.22730456970967466,0.23277185217159868,0.052066485101220875,0.03866672427028204,0.036364313493786445,0.05926264131443778,0.48100703934560374,13.177065543355123,0.24808707839079194,0.03866672427028204,0.48100703934560374,13.177065543355123
67,0.41284259163859027,0.47999515402396331,0.42928617447657946,0.46028977695921613,7.53267953069369,12.65853851125095,9.360384613972712,9.886381170309658,0.21418588482100823,0.24260543465444098,0.22481759725520334,0.22726574500065014,0.051034621926952184,0.038185929995320236,0.035026583526267814,0.05939011395310873,0.47999515402396331,12.65853851125095,0.24260543465444098,0.038185929995320236,0.47999515402396331,12.65853851125095
68,0.40971949843998473,0.48290298535077131,0.42795208878542373,0.46038953335892024,7.375922018535256,12.895738661746323,9.398716150818617,9.798959406681734,0.21052141850548425,0.24357318880879067,0.22166574798276692,0.22726612448306954,0.052877763170709344,0.04039409509059348,0.036667447805902594,0.06173147246414585,0.48290298535077131,12.895738661746323,0.24357318880879067,0.04039409509059348,0.48290298535077131,12.895738661746323
69,0.39171928480289359,0.48303364107513458,0.41144088829699732,0.45699247567428425,7.327560642986714,13.884513714118762,9.85549545696299,9.981641223538249,0.20628026197731103,0.24285759244902205,0.21825392675270183,0.2247692669737748,0.05534711190464203,0.04186438620172194,0.03689377559816715,0.06654817146269632,0.48303364107513458,13.884513714118762,0.24285759244902205,0.04186438620172194,0.48303364107513458,13.884513714118762
70,0.48035363027869643,0.49132110619729175,0.42418170691092411,0.48289379882122363,11.680126622681714,14.446033237788587,10.68966822208733,12.413376887142013,0.24689633632733088,0.3079120257526083,0.26980513899149344,0.2893336407102465,0.037791986170432175,0.004278447132887726,0.006963958713192114,0.012210843421651655,0.57079935037960516,24.287703730240494,0.28835246509486334,0.04160119420963985,0.64883979776887224,12.55476727055281
71,0.45093963188757236,0.50137968251835363,0.4357630445356428,0.48635532525814718,8.711077526386557,15.924736935074815,11.735251298976923,12.092398223835357,0.23644649179677957,0.29414909447845533,0.26201981223284754,0.27648446000259175,0.03979889095681265,0.018543166594913795,0.018618399756092068,0.030885194608183862,0.52773218385580234,17.140770951881347,0.2701099058973415,0.036963890969764344,0.62083494140741413,14.476124463420904
72,0.48564353069708693,0.5029283336866831,0.4359444360922875,0.48673078364620814,25.658274130567296,15.64854423725217,11.233575633540324,12.212829090702924,0.2517190292654002,0.30273545082400094,0.2676270064156979,0.2852548482011178,0.008922984348849743,0.0002684679395975099,0.0006347347237285574,0.0008471293392251683,0.58126281611669184,27.260422998763758,0.29483274366323275,0.01166368504306671,0.61380840923470825,14.549463558426266
73,0.41444422045082535,0.49836429724452519,0.43253624951052644,0.47494479046695176,8.402972245429082,15.243688256579054,11.267548079108234,10.989698688236523,0.21660213076922513,0.2574707802578395,0.22858058524281075,0.23916775790748226,0.04754147105563012,0.03536438398006276,0.03238969519070347,0.05570803572533176,0.49836429724452519,15.243688256579054,0.2574707802578395,0.03536438398006276,0.49836429724452519,15.243688256579054
74,0.41499777370691587,0.49574483537846448,0.42867878551661748,0.4787780792273878,8.583053636115453,15.101232874913327,10.518934876008727,11.345951358038667,0.21424376678520424,0.24991583300651402,0.22322618154591387,0.23619061685842926,0.04639002149292425,0.03747303285511163,0.0325850724774463,0.05604650544160226,0.49574483537846448,15.101232874913327,0.24991583300651402,0.03747303285511163,0.49574483537846448,15.101232874913327
75,0.41879279472737602,0.49892220470365428,0.43201190951492929,0.48268438633853872,8.560317759622677,15.76918327252874,10.630589444897918,11.701140260318198,0.2142231123141159,0.2536021579768604,0.22244112003097954,0.24105050564033806,0.04728978023971446,0.03958756186870937,0.03407356952959079,0.057020755438851274,0.49892220470365428,15.76918327252874,0.2536021579768604,0.03958756186870937,0.49892220470365428,15.76918327252874
76,0.41314542554982303,0.49902113267938142,0.42768548063191519,0.48072366446552356,8.265116522674528,14.990504196312772,10.69625264556121,11.380744169412893,0.21111124549052931,0.2484219366460387,0.22071378071938158,0.23350894044783888,0.05004582792422931,0.0423997174730063,0.034547602921392015,0.06330346799552665,0.49902113267938142,14.990504196312772,0.2484219366460387,0.0423997174730063,0.49902113267938142,14.990504196312772
77,0.41264832526122214,0.49850124260085249,0.4291654611211887,0.47729252025499735,7.715218337375351,14.253616867580398,9.972133813490743,11.16519833105606,0.2182819770196951,0.2603674204251105,0.22972277017628145,0.24283282630643108,0.04901827125751012,0.037700129638535564,0.03433804493680868,0.057326393300289956,0.49850124260085249,14.253616867580398,0.2603674204251105,0.037700129638535564,0.49850124260085249,14.253616867580398
78,0.41190317563357387,0.49686776794653276,0.42537967012465078,0.47816709830448018,8.379034901233261,14.592150518954249,10.373653225500323,11.543124443339133,0.21639016600643005,0.25492624703621586,0.22633938594530856,0.23921234028075936,0.04694864166539249,0.04001042286965073,0.033552763997644446,0.05839892847482286,0.49686776794653276,14.592150518954249,0.25492624703621586,0.04001042286965073,0.49686776794653276,14.592150518954249
79,0.40978475070563081,0.49650846904006957,0.42362162449003354,0.4783985650176511,8.279218818842548,14.642001732963394,10.257844334551741,11.18056757639093,0.22062301447675825,0.26057576911335256,0.23035939680625367,0.24521533184882058,0.049245163736906995,0.04056312480973558,0.03435195004976255,0.06096977556612992,0.49650846904006957,14.642001732963394,0.26057576911335256,0.04056312480973558,0.49650846904006957,14.642001732963394
