Period,Gini sedlac. all income,Gini sedlac. labour income,Gini sedlac. labour and pension income,Gini sedlac. labour and family benefits income,Decile ratio. all income,Decile ratio. labour income,Decile ratio. labour and pension income,Decile ratio. labour and familiy benefits income,Top 10%. share of all income,Top 10%. share of labour income,Top 10%. share of labour and pension income,Top 10%. share of labour and familiy benefits income,Bottom 10%. share of all income,Bottom 10%. share of labour income,Bottom 10%. share of labour and pension income,Bottom 10%. share of labour and familiy benefits income,Gini sedlac. labour and IFE income,Decile ratio. labour and IFE income,Top 10%. share of labour and IFE income,Bottom 10%. share of labour and IFE income,Gini sedlac. measure IFE impact,Decile ratio. measure IFE impact
49,0.39941306948994,0.471371372959669,0.416442853169771,0.452357675470494,7.04259608791149,12.4497236451026,8.76619267606853,9.82097896863783,0.229064968611101,0.258874073366254,0.238185413737853,0.245840796170668,0.030937019657567,0.027036234275155,0.023763363307733,0.036298160508062,0.471371372959669,12.4497236451026,0.258874073366254,0.027036234275155,0.471371372959669,12.4497236451026
50,0.394002036736527,0.44533125748545,0.407606858103143,0.43613819742667,6.88403290719409,10.5472984586432,8.34107382510482,8.97087994215838,0.227413665576695,0.244492014109777,0.234340276164941,0.234780936109832,0.036155751122052,0.028938090792902,0.027525881033534,0.04047594320961,0.44533125748545,10.5472984586432,0.244492014109777,0.028938090792902,0.44533125748545,10.5472984586432
51,0.396523907046528,0.45002210562903,0.412182334914664,0.434972501641928,6.78003850660734,11.1757805536954,8.30551393336935,8.7275963240383,0.22893162787121,0.254886917297101,0.237110382941251,0.243320982477777,0.035766766830175,0.026947446978784,0.027040595827174,0.038430914378262,0.45002210562903,11.1757805536954,0.254886917297101,0.026947446978784,0.45002210562903,11.1757805536954
52,0.39447900861213,0.444626058936514,0.409326404383816,0.43067900390682,6.85154380102641,10.6916069886585,8.34269119483762,8.41449853477214,0.227816405993549,0.249573309843617,0.235319032832528,0.238913304447812,0.035725042739959,0.027234511347913,0.026708654208021,0.039290732395515,0.444626058936514,10.6916069886585,0.249573309843617,0.027234511347913,0.444626058936514,10.6916069886585
53,0.395216696108033,0.448852865020715,0.411343411913589,0.431553806448204,6.77353199566828,10.8031491685871,8.452642798717,8.60817631958558,0.228651377042963,0.255389086807619,0.236830606138129,0.243771529163111,0.036641018388593,0.026605207939333,0.026896869564928,0.039453175316868,0.448852865020715,10.8031491685871,0.255389086807619,0.026605207939333,0.448852865020715,10.8031491685871
54,0.396771764930465,0.450745558546839,0.412449269288051,0.435361677188279,6.95050665519659,10.8429558618951,8.4009041232576,8.80480788048124,0.228254072028878,0.252794535658017,0.236365612655116,0.241222203843871,0.036733833029633,0.028329966774346,0.027838439643651,0.040173003572375,0.450745558546839,10.8429558618951,0.252794535658017,0.028329966774346,0.450745558546839,10.8429558618951
55,0.397251675684938,0.447830903031019,0.412073898726034,0.432553763395339,6.84783037206471,10.5323578262243,8.27958888109986,8.66669442113784,0.227534209199668,0.252266961495408,0.234795106162141,0.242030915299603,0.037778620142066,0.027911209396765,0.02840434623825,0.040231382422265,0.447830903031019,10.5323578262243,0.252266961495408,0.027911209396765,0.447830903031019,10.5323578262243
56,0.394448151214753,0.44988130146117,0.413149840988521,0.427978334303428,7.09212121447489,10.7039309658366,8.70706758947731,8.35436847387673,0.223565159186138,0.246942362719542,0.23421514229552,0.231949739352123,0.03671699780801,0.028684613136796,0.027707275059779,0.040654168525859,0.44988130146117,10.7039309658366,0.246942362719542,0.028684613136796,0.44988130146117,10.7039309658366
57,0.391100116535274,0.451223129672661,0.41205255966617,0.427021295880033,6.66092288365179,10.5240689271413,8.5279488079766,8.25873583370194,0.228324102312214,0.260390858765597,0.240999947280269,0.242318695299813,0.037232640161985,0.029231992614002,0.02751802102477,0.041928774287685,0.451223129672661,10.5240689271413,0.260390858765597,0.029231992614002,0.451223129672661,10.5240689271413
58,0.390504198342505,0.448969980529731,0.408345599800189,0.428043192870715,6.72188649348637,10.8763036342496,8.23592865789499,8.65524512217126,0.228554689984466,0.257482033245542,0.239312686300671,0.241914482412749,0.037207568892458,0.029829024351439,0.028044600338183,0.042040790191242,0.448969980529731,10.8763036342496,0.257482033245542,0.029829024351439,0.448969980529731,10.8763036342496
