period,Total_family_benefits,Total_contributive_child_benefits,Total_auh,Total_spouse_benefit,Total_school_aid,Total_wedding_benefit,Total_prenatal_benefit,Total_pregnancy_benefit,Total_birth_benefit,
49,2734350.16043429,769150.970156744,1347875.48370656,183870.104000691,338093.926038193,31526.3823338806,24077.1305853279,31658.6935432472,9202.30324894151,2735454.99361358
50,2477379.0710721,691195.429516271,1268052.4844006,184400.119829744,245542.076304456,20998.5084501751,29210.9064576864,27931.6708723083,10914.7131947921,2478245.90902603
51,2917699.64699186,904566.572509716,1553931.86249794,353100.647166009,0,3427.68829186488,28272.2424773039,68274.6358079497,7563.11359751674,2919136.76234831
52,2756313.56138864,868035.636248455,1446456.09856422,332075.995672236,0,7651.38230010397,38436.7963471556,54213.3977020749,10193.2630571491,2757062.56989139
53,2795174.27854746,651983.941091058,1253642.50840363,284415.403588367,535174.73604387,2963.34551881839,21138.0436511109,39227.9750118616,7113.02391421705,2795658.97722293
54,2827291.46962747,1170083.2953331,1281417.83113838,283463.506387765,0,4262.27989327429,40692.4994081849,41562.537068552,6701.73710393453,2828183.68633319
55,2477332.11619084,912108.961680962,1195744.49461844,265506.850230414,0,3313.79219433679,44329.3532834185,50876.2046295664,5933.34745344313,2477813.00409058
56,3910348.4398605,2134725.58721156,1259565.93983801,345441.107184082,0,6017.20836578514,88039.7773410462,63419.9744560475,13138.8454639734,3910348.4398605
57,4298955.28184956,1860159.28305272,1247158.55143378,324705.61349667,748947.797476514,5410.31196281292,73375.6709614865,29279.8648550301,10554.2742020238,4299591.36744104
58,3938877.93859074,2230764.05068608,1220883.19620096,356978.103767779,0,9241.43146997252,64519.83033329,48573.1089921066,8445.26291397342,3939404.98436416
59,3599109.6687936,1918501.09778747,1188096.3688738,338899.429955525,0,6384.15770926033,87888.1027564367,49450.610055503,10394.7851948797,3599614.55233288
60,4011961.89295399,2267425.78760671,1215955.532242,356955.85452758,0,8826.33476454865,94195.9994458094,57454.1403555487,11693.7191805119,4012507.36812272
61,4266309.08811414,1928232.33057195,1138999.25175111,330167.470120155,751592.026007215,7111.38473049712,70362.4095334242,30362.2381592399,9401.88872724604,4266228.99960084
62,3669736.53404985,1954037.25765909,1267560.96874312,324976.694746802,0,7066.37626714362,65596.2273316425,42504.8382165958,7994.17108545375,3669736.53404985
63,3308354.07920606,1717934.21404231,1155845.28700457,311941.598834788,0,7155.56382406401,61293.2617608139,45621.3356582711,8487.78414030457,3308279.04526512
64,3051358.17301921,1602501.74725369,1057614.22049697,286977.842965087,0,8464.50051935364,45333.3548958444,42990.0893593819,7514.95030676814,3051396.7057971
65,3573945.3037423,1572535.16486507,975641.666231167,280830.460077113,636008.316619113,4002.99816565245,63479.2110749803,33208.3789749041,8811.33075275378,3574517.52676076
66,3250249.78092665,1555100.35438503,1296043.1911,286803.320954177,0,7181.7781682519,66017.5723411818,31267.51765638,7874.04390280944,3250287.77850783
67,3176833.72483201,1565857.54194276,1215853.84952,292533.28643239,0,9242.06514455912,50905.3311336397,36477.6539637624,6750.90770051997,3177620.63583763
