period,Total_family_benefits,Total_contributive_child_benefits,Total_auh,Total_spouse_benefit,Total_school_aid,Total_wedding_benefit,Total_prenatal_benefit,Total_pregnancy_benefit,Total_birth_benefit
49,2747604.08451689,753519.756998531,1397358.47336594,182428.853607535,332038.200845071,30671.555365938,16899.6221460295,30614.8355959561,7163.81374751577
50,2510830.96770204,689941.865137704,1303611.92152628,179351.980070104,251994.262433649,23299.7822358536,19043.7931457185,39677.4172458686,7312.07786680016
51,2906693.7310791,907327.032604693,1562656.81595711,342613.030686125,0,8764.40179633962,33746.6539185681,44627.0346767718,9344.53851084417
52,2769325.92947457,898440.556446048,1442168.90307394,323374.216377196,0,5769.68096546344,34986.6116730581,57526.9205696257,9109.29736816843
53,2793101.2101332,647554.115120401,1249367.46855701,283563.658151841,538999.709625796,5294.47597084761,24537.5466940007,38224.4864888087,7771.10937584183
54,2331647.96318717,680795.003148761,1300821.25842761,280570.702872665,0,4154.67728758324,25512.65892471,33624.6822920349,6903.56763379462
55,2039338.44380861,520240.477417715,1191939.53108186,261862.874210702,0,2554.06583234318,14781.8179865472,44280.1082316382,4366.53379936127
56,3403357.11542266,1707989.0489904,1239428.00304863,345915.473354382,0,6353.06347753662,59945.6377222666,32547.2745411007,11897.5380937163
57,3715687.12735543,1371769.14091899,1243147.02279951,327751.426600729,660068.994644146,5916.91084893993,49077.0242176078,50357.214378332,8666.17789034944
58,3367505.53624844,1690243.97281365,1215252.77163695,361490.26165128,0,6611.41512111237,50370.8347311861,34051.5037323749,10067.5153165233
59,3108473.45539602,1473373.7108226,1189151.6795706,344425.1355417,0,6247.05133225795,35896.5316324466,52854.6702069456,7149.73190282391
60,3479595.20109213,1836491.96813366,1174436.15554609,368977.040250725,0,9613.25310810778,55196.9985848724,26752.1829528534,8803.06632413151
61,3751880.84074223,1556199.2613115,1062598.54165983,342419.361784791,680351.376675993,8205.2974750877,56337.2261702995,35946.5040117149,10049.7076807453
62,3440306.93910266,1781690.96850656,1166865.26539329,366956.356877907,0,7711.31189993545,58394.236196846,49050.9482815844,10305.598267068
63,3036229.45601712,1521011.09869971,1070212.45599893,329852.883206976,0,13461.6656049756,52872.5019058814,39731.886491997,9202.61410657317
64,3093006.03153465,1587317.47438695,1055633.78957619,326236.136881546,0,8951.92060666426,56997.7543963981,48316.1913239047,10142.216077462
65,3178831.49729458,1280911.65052034,932602.113482837,295654.883865219,571354.039274309,8233.69353323555,47840.4215754158,33081.8289812117,9346.76712542469
66,2867258.26794904,1458616.23014591,986100.839637552,312521.452746938,0,6594.0826012733,51329.5769879525,42371.4932260589,9832.00453195705
67,2483574.50084256,1140960.84984181,970022.762590897,285989.886558211,0,6155.40342029092,38603.1339440212,34958.8681405263,6982.02532254826
68,2484480.4611088,1157077.6600933,962569.888161686,290155.200121252,0,5199.27827157241,34661.481884207,28083.6883521254,7014.48964329156
69,2579867.01839791,874221.861055148,907243.459024091,262609.182596127,463273.263106432,5006.23464607985,27365.3970316927,35783.7623151619,4769.540020047
70,2369210.32059036,1145104.01669897,843997.758681916,300063.253985819,0,8014.38504042167,34351.6130691037,30431.4472075457,7349.05065643239
71,2168944.61030955,995083.571855032,819338.92354724,276009.566923872,0,3847.24419759597,28888.8794947815,39487.7594258688,6383.21762621646
72,2318168.67444354,1121929.66380958,826502.672174298,293498.52422365,0,6173.71094416756,38364.6575690552,24384.1431837843,7531.83133096376
73,2581634.54203742,941123.157296107,833185.040522696,273045.49199708,467801.813941279,4609.94542726693,26089.3045209829,30603.9518569672,5492.20227582581
74,2468241.22105258,1190108.13538027,883481.636167095,312079.753441183,0,8545.11869351632,33142.0110154464,34225.1016824418,6762.39574905466
75,2232063.46892807,1002029.78619966,846185.676144956,285907.333298467,0,3045.61264501375,43082.5611032261,43932.2569051541,7976.92021385797
76,2458001.91523354,1147686.50420788,912508.460808183,302657.727312277,0,5761.74437571326,49112.4227722901,31798.9584986499,8700.91778439125
77,2661611.92095392,978261.821049816,844378.746205529,284383.428932682,481662.398308587,5194.20649573402,32833.390063499,28073.2113133148,7013.01486992553
78,2566641.11493113,1235156.67690892,922197.344014542,319480.373783665,0,6075.44461711531,39207.2251282137,36892.6629914229,7865.75322818998
