Period,"Gini insee, all income","Gini insee, labour income","Gini insee, labour and pension income","Gini insee, labour and family benefits income","Decile ratio, all income","Decile ratio, labour income","Decile ratio, labour and pension income","Decile ratio, labour and familiy benefits income","Top 10%, share of all income","Top 10%, share of labour income","Top 10%, share of labour and pension income","Top 10%, share of labour and familiy benefits income","Bottom 10%, share of all income","Bottom 10%, share of labour income","Bottom 10%, share of labour and pension income","Bottom 10%, share of labour and familiy benefits income","Gini insee, labour and IFE income","Decile ratio, labour and IFE income","Top 10%, share of labour and IFE income","Bottom 10%, share of labour and IFE income","Gini insee, measure IFE impact","Decile ratio, measure IFE impact"
49,0.3903025086740588,0.46303249636418253,0.4089610840367145,0.44138938341687056,6.826845326147219,12.155401478331916,8.3427880789213,9.516121729867972,0.2342877572594866,0.2681721627245518,0.24362466930150287,0.2546618491758734,0.028275790713725397,0.025532137709716966,0.022789317607229027,0.032598241308543635,0.46303249636418253,12.155401478331916,0.2681721627245518,0.025532137709716966,0.46303249636418253,12.155401478331916
50,0.38950599142561609,0.44112722979212882,0.40399917433348514,0.43030832478676784,6.78076379395057,10.442344934349334,7.986385483074553,8.771642302966693,0.2311340601583578,0.25544680786100626,0.2380425261246064,0.24550890452089205,0.029580733745829445,0.02404956740860212,0.022977726901553024,0.032856945486191315,0.44112722979212882,10.442344934349334,0.25544680786100626,0.02404956740860212,0.44112722979212882,10.442344934349334
51,0.39205936562029642,0.44191686865928581,0.40808206941282577,0.42896220050338446,6.827549778061436,10.563305860068997,8.18275642823367,8.563388860310912,0.23337175706703164,0.2609886601718465,0.2415553399711831,0.24942138022561317,0.030920732691404523,0.02319035250035729,0.023514613327136696,0.032892708642850516,0.44191686865928581,10.563305860068997,0.2609886601718465,0.02319035250035729,0.44191686865928581,10.563305860068997
52,0.39510240737857139,0.44697364830416625,0.40980006594024926,0.4334925168548675,7.054819987534469,10.78150002371109,8.453256422696024,8.666037250509438,0.23460851781295936,0.26161523467292935,0.24185889144190273,0.2511752756424033,0.030455285350935828,0.02436513169149958,0.023322575137450757,0.0338185160024285,0.44697364830416625,10.78150002371109,0.26161523467292935,0.02436513169149958,0.44697364830416625,10.78150002371109
53,0.39342197636942988,0.44759858501447297,0.40990409789018145,0.43206524843748323,6.644400056496709,10.549464028017066,8.268809616266122,8.381569915523793,0.23668593539394508,0.26854427669881226,0.24516529057884562,0.25641612414881715,0.03293457157765469,0.024468407322804267,0.024431974689760137,0.035569511338333165,0.44759858501447297,10.549464028017066,0.26854427669881226,0.024468407322804267,0.44759858501447297,10.549464028017066
54,0.39227067397102822,0.45070517087902678,0.40865329602596628,0.43668524108925183,6.665943423415885,10.76758319457114,8.176672774527123,8.662348397716128,0.23530938176133395,0.265757269001474,0.24370537925139651,0.2536090155053041,0.03247667410107748,0.02545637694039563,0.024545062823734237,0.035938817445585955,0.45070517087902678,10.76758319457114,0.265757269001474,0.02545637694039563,0.45070517087902678,10.76758319457114
55,0.39770175654908946,0.44897520235160615,0.41316650640682423,0.4355311550404864,6.674988237999961,10.41557092191991,8.294990686004509,8.515496662884622,0.23662276539922064,0.2693833389690521,0.24442100816409518,0.25817859153889977,0.03304516196954593,0.02500010880187529,0.025507756786917208,0.03484770963567657,0.44897520235160615,10.41557092191991,0.2693833389690521,0.02500010880187529,0.44897520235160615,10.41557092191991
56,0.38951067442030785,0.44674607835123148,0.4084520585255299,0.42637765062196026,6.665182752969427,10.234363744818557,8.309858103826532,8.072324711059084,0.23099842294123177,0.26089692518841695,0.24192749301254377,0.24537229160917043,0.0323334337851652,0.026218556444426673,0.02518330153334436,0.03557265773183036,0.44674607835123148,10.234363744818557,0.26089692518841695,0.026218556444426673,0.44674607835123148,10.234363744818557
57,0.3891514349441425,0.45092414740315756,0.41055322138245187,0.42581853922213286,6.364888270558511,10.459487715507347,8.208189774945897,8.071089310049613,0.23670801000626038,0.2739751557472175,0.2493950001748246,0.25577335230637716,0.0325134906825236,0.02561907837520492,0.025783808064808476,0.0344141547676625,0.45092414740315756,10.459487715507347,0.2739751557472175,0.02561907837520492,0.45092414740315756,10.459487715507347
58,0.38599091021481918,0.44681571842221213,0.4052582016617412,0.42492304130057579,6.4085769691033185,10.602136836341458,7.880871356397695,8.309595637789847,0.2352009482643941,0.2685158456263042,0.24608625799637754,0.25269642196538195,0.033049207851807635,0.02739725457443008,0.026176818028454625,0.036472848535571055,0.44681571842221213,10.602136836341458,0.2685158456263042,0.02739725457443008,0.44681571842221213,10.602136836341458
59,0.38598561594650466,0.4433561633084111,0.40282084831365822,0.42573363012275484,6.396830761863877,10.138064956170282,7.851146343513949,8.476877598188445,0.23728073926770266,0.2705087365946945,0.24721349342617427,0.25626690080493925,0.034046400548781906,0.026990925476401362,0.02655966015754454,0.03677233639967092,0.4433561633084111,10.138064956170282,0.2705087365946945,0.026990925476401362,0.4433561633084111,10.138064956170282
60,0.37985665828775284,0.44056973139851041,0.39846940932365965,0.41904571907431998,6.352040434876567,10.188855308637175,7.867814575073099,7.92862083235919,0.23059837629457333,0.26154955001651814,0.2409729892242501,0.24655734731724446,0.03318616806098054,0.0280496086312321,0.0261324214768776,0.03732759648762001,0.44056973139851041,10.188855308637175,0.26154955001651814,0.0280496086312321,0.44056973139851041,10.188855308637175
61,0.38265639042432009,0.4447193530697493,0.4030115068812804,0.41952775827378241,6.231258697688223,10.240386469281022,8.028222200274712,8.133543439158096,0.23411502795903227,0.2670909438897272,0.24640705663093654,0.2496060856542371,0.03476527719095058,0.02623414729077087,0.026016702065479583,0.03769997622435564,0.4447193530697493,10.240386469281022,0.2670909438897272,0.02623414729077087,0.4447193530697493,10.240386469281022
62,0.38059696266108139,0.44318746354783961,0.39814400373922754,0.42215855761373944,6.276077935517483,9.932393160145114,7.917272340140554,8.105367950599593,0.22806358403549642,0.25879561889211766,0.23836345091949612,0.2439578431889711,0.034139679669675994,0.028811120490759297,0.02635085836654893,0.03900284031148154,0.44318746354783961,9.932393160145114,0.25879561889211766,0.028811120490759297,0.44318746354783961,9.932393160145114
