Period,Total SIPA income,Total wage-earners SIPA contributions,Total taxable income,Total gross wages,Total SAC,Total autonomous workers SIPA contributions,Total monotributo SIPA contributions,Monotributo integrated tax
49,17946029.7373772,17193969.8333701,60758667.2995731,60662058.8973272,0,502107.026386771,168455.541099286,116424.766458671
50,21851478.6150531,21003375.2783581,73524516.4042919,64495621.5249125,10749270.2541521,602980.899831901,162563.149478198,117941.839121197
51,20104485.510011,19302384.9219628,68235350.7419417,68116748.501654,0,556506.000779664,159243.08362027,123359.29092606
52,23145866.2187369,22372470.6443445,78379794.977022,68767475.3809616,11461245.8968269,545720.983746152,146541.717460508,115904.1045511
53,19032700.9209871,18306612.0093735,64778058.1753027,64662671.3025042,0,523866.198402329,125625.27596286,109424.910354893
54,21424382.6012026,20721980.7455334,72624972.5912499,63711043.8677197,10618507.3112866,513903.752864513,114212.299058001,106122.576781039
55,19035475.1160366,18374577.1578533,65002526.4453461,64885458.9934854,0,469680.990200988,110033.091992006,115976.965700388
56,22092269.1897079,21367850.7175557,74778604.0537057,65593289.153525,10932214.8589208,540515.765971559,102309.98566595,116561.029306822
57,19297458.383856,18544304.5123009,65549655.6046112,65434688.7164727,0,502541.122991592,189617.851583831,87135.5671138854
58,21899126.9006071,21096595.1122108,73780230.6698447,64734252.8839379,10789042.147323,544348.076462959,191046.479561758,95910.3319594454
59,19655685.8658354,18860326.0992028,66566785.2598724,66442395.6879849,0,527403.505730876,194694.42049167,104659.772014402
60,22537820.4956142,21719350.035376,75919217.040976,66585514.9277845,11097585.8212974,554825.559533504,188207.505210878,107767.707848416
61,19582127.0795013,18747850.7073361,66199802.1111465,66080805.2656938,0,561568.58878371,207284.7484183,93461.4785188646
62,22341812.3568201,21568169.2623284,75411134.8577922,66168530.7796637,11028088.4632773,512760.226301092,193590.404766624,96132.0906057563
63,19908004.5672967,19146927.7774423,67578015.9873947,67446303.5855936,0,514274.757582197,179291.713810036,96443.3120888155
64,22681607.4557771,21924317.8011531,76642667.457011,67255124.5112422,11209187.4185404,508050.732348158,176490.912145675,103925.72875736
65,20136068.8179701,19402094.895226,68444532.9187859,68318656.7757379,0,484920.467061447,177096.594896662,102795.515408514
66,22958227.0936028,22235465.413445,77689146.9580933,68172823.3520435,11362137.2253406,465616.005601878,182396.316509102,106784.797209796
67,20263165.510074,19470936.3852923,68699213.1742479,68572355.9606496,0,528251.882008961,187386.344199439,109415.569390499
