Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
49,901478,1124285,1031277,1030014,1028851,919037,740996,701617,676258,655790,478441
50,884030,1127493,1037397,1039573,1031964,917029,751764,699487,676045,648250,498116
51,865054,1140093,1044094,1029845,1039729,923859,762697,696681,680287,644350,508880
52,861885,1134177,1057071,1003047,1060059,935312,768772,688922,675034,647786,510959
53,863924,1149124,1043950,1011757,1057583,947733,762919,686796,677916,650878,522599
54,862824,1132789,1060416,1009044,1066460,949393,776324,679447,682482,653259,528427
55,859181,1134958,1062200,1015655,1067816,947121,782699,688330,682508,644480,541818
56,832495,1150229,1070000,1011915,1075875,942535,786308,706995,673223,639405,549558
57,824425,1136250,1085655,1007890,1080281,952680,786226,712914,670038,640184,561532
58,824542,1137183,1090840,1007284,1075261,956021,796966,718813,672897,637968,561504
59,823030,1132601,1099586,1008498,1075601,954840,806653,723447,676441,633642,578293
60,831545,1114442,1123220,993349,1085446,948344,820956,723961,672916,640923,581238
61,824692,1096179,1141906,992334,1077973,967649,821138,726887,668474,635463,592084
62,827551,1097983,1130634,1004937,1071128,979471,816616,733059,683198,625524,598962
63,835973,1101811,1119046,1022644,1058421,983606,837149,735232,677551,631512,602896
64,842109,1097737,1128053,1033188,1043078,1007738,830013,733548,682553,646646,597678
65,823396,1103808,1133211,1011971,1046205,1014033,851070,731935,675006,652808,607104
66,834907,1098558,1135379,1009498,1037055,1006214,871950,733058,682961,654961,603147
67,861972,1097706,1133514,1009156,1036974,1007758,889700,734010,671334,657815,616030
68,867570,1080339,1134088,1009806,1043682,1010063,907354,724617,676075,659896,622319
69,858978,1089991,1119972,1029760,1025748,1015809,913795,731743,685009,656870,617375
70,856940,1077322,1123502,1035558,1036908,1020234,908178,741420,679689,655736,613212
71,863353,1063825,1136461,1042255,1027180,1028108,912266,753000,675893,660741,610538
72,882418,1059539,1130569,1054809,1000700,1047226,923593,760720,666251,656468,619312
73,895039,1050327,1145516,1041272,1008090,1046536,933309,755912,662508,659485,624046
74,887423,1056117,1129526,1056432,1006126,1054662,934965,769425,656793,664445,625317
75,886783,1057256,1131695,1058315,1012421,1055715,933807,775788,665418,662111,616737
76,896611,1041834,1147141,1066698,1008483,1063120,929066,777559,685534,653202,609064
77,898590,1032718,1134707,1081008,1004258,1069209,940274,775727,692918,649277,613173
78,891173,1031959,1135535,1086193,1003956,1063440,944292,785633,700649,652542,613786
79,881608,1041465,1129928,1095990,1004208,1063768,943629,794216,705643,656415,607249
80,853830,1062106,1111634,1119326,990801,1072198,937266,810214,706742,649448,612377
81,860566,1051641,1093478,1138012,990102,1066779,955854,810287,710726,645100,607096
82,847706,1056663,1095282,1126745,1002991,1060118,969556,804645,717474,660585,594277
83,824394,1072136,1099180,1115087,1020698,1049399,972011,824429,719632,656491,601015
84,827922,1061678,1095106,1124094,1031444,1036716,994062,817790,723753,659536,614493
85,835669,1049215,1099635,1129550,1009794,1040970,1003013,835969,718953,651305,620333
86,846503,1052174,1095192,1133914,1005403,1032425,994616,856299,720749,660491,624936
87,840039,1063849,1094340,1132049,1005061,1032171,996013,873880,722465,649326,625313
88,829135,1081861,1077338,1133929,1005847,1038743,1001830,892920,713774,652116,627468
89,813965,1084877,1086990,1119813,1026070,1020896,1006714,898687,720642,658653,629213
90,823626,1082593,1074321,1121619,1032446,1031478,1011139,895176,730403,657137,628274
91,831009,1086037,1060824,1131926,1039054,1021611,1018790,901835,739631,655737,631609
