period,Contributory pensioners share,Moratorium pensioners share,Universal pensioners share,Retirement coverage for legal age,Retirement coverage 65+,All coverage legal age,All coverage 65+,Contributory retirement coverage legal age,Contributory retirement coverage 65+,Survivors benefit coverage legal age,Survivors benefit coverage 65+,Moratorium benefit coverage legal age,Moratorium benefit coverage 65+,PUAM coverage legal age,PUAM coverage 65+,Mean contributory retirement pension,Mean survivors benefit,Mean moratorium pension,Mean universal pension,Mean retirement pension,Mean pension benefit,Median pension benefit,Median pension to labour income ratio,Mean pension to labour income ratio,Mean family benefit,Mean child benefits,Mean contributory child benefits,Mean AUH benefits,Child benefit coverage,Contributory child benefit coverage,AUH coverage,"Gini, retirement age","Gini, retirement age, non labour income","Gini, 65+","Gini, 65+, non labour income","Gini, retirement age, has income","Gini, retirement age, (has) non labour income","Gini, 65+, has income","Gini, 65+, (has) non labour income"
49,"0,8234578036","0,1765421964",0,"0,9935046742","0,9940372376","0,9971612868","0,9985736151","0,8070012781","0,8969479736","0,0305791609","0,0307315806","0,1865033961","0,097089264",0,0,"4532,625670632","3355,984607346","2432,5537045606",nan,"4161,8743531497","4122,0371478619","3103,9936382189","0,5569620733","0,6472126928","471,195668332","486,9826680117","384,4991375649","680,1332126914","0,6068898674","0,3664458286","0,2404440388","0,2989185245","0,2630299004","0,2843122183","0,25712856","0,2982406851","0,2618080585","0,2836741099","0,2564163216"
50,"0,8158412581","0,1841587419",0,"0,9933285745","0,9940917434","0,9969726157","0,9986092884","0,7995458338","0,8915099833","0,0353718716","0,0353635497","0,1937827407","0,1025817601",0,0,"5214,7103205007","3860,8882653144","2778,5450676414",nan,"4766,0691924898","4737,3859540052","3560,6124200363","0,616270079","0,7079572952","404,0433007799","431,5174320563","244,5144041989","778,5671102443","0,6002823201","0,3733672918","0,2269150283","0,2963602768","0,2655172051","0,2832111002","0,2598465696","0,2957274889","0,2645207985","0,2825480904","0,2591619482"
51,"0,8090450422","0,1909549578",0,"0,9936810389","0,9945411637","0,9969950656","0,9986271426","0,7935763426","0,8851509695","0,0405256544","0,0403028381","0,2001046963","0,1093901942",0,0,"5044,4545635242","3737,3461291325","2684,2317987971",nan,"4593,7583252002","4585,8402515722","3435,6347194938","0,5691940707","0,6566029144","517,6940682948","541,8794483793","376,5867960417","823,1785852337","0,5601679966","0,3303286944","0,2298393022","0,3047043665","0,2672297556","0,290238343","0,2619232314","0,3040837235","0,2662430539","0,2895902692","0,2612493035"
52,"0,7988708903","0,2011291097",0,"0,9946394848","0,9957143936","0,9974475934","0,999169052","0,7843775648","0,8773239857","0,044318589","0,0446647854","0,21026192","0,118390408",0,0,"5434,6474990915","4015,1369735243","2881,0787738983",nan,"4921,0504948559","4930,1857211782","3699,3274974916","0,6085050127","0,7075639239","505,3778639636","525,8498200828","361,1678005152","812,9449418949","0,5542303934","0,3212222653","0,233008128","0,3033967656","0,2682365796","0,2875059202","0,2620288665","0,3025901635","0,2672587838","0,2872645224","0,2617521221"
53,"0,7887390798","0,2112609202",0,"0,994957484","0,9951903033","0,997351978","0,9981343119","0,7750125619","0,8681739934","0,0474858385","0,0490215428","0,2199449221","0,1270163099",0,0,"4727,643408223","3496,1966531489","2544,3077322792",nan,"4266,3899042752","4286,8787128251","3211,3983965342","0,5620608723","0,6548016129","571,6642059147","594,4529614108","420,6142182158","857,5128072996","0,5078674164","0,2753348244","0,2325325921","0,3003382702","0,2660859974","0,2831823733","0,2609894716","0,29995807","0,2654120913","0,2825821658","0,2603441164"
54,"0,7812142572","0,2187857428",0,"0,9950916123","0,9953155121","0,9973749661","0,9981157639","0,7682920877","0,8612998305","0,049300691","0,0518063991","0,2267995246","0,1340156815",0,0,"4861,7122404908","3598,8016534261","2601,9307105674",nan,"4367,3042599101","4397,7224686487","3293,147691675","0,594901906","0,6918786777","499,9892025331","517,000941748","412,1990040699","705,3950504784","0,5782114198","0,3436755523","0,2345358675","0,2992682374","0,2674207303","0,2855862775","0,2624656539","0,2987018276","0,2667536061","0,2850428399","0,2618285269"
55,"0,7738643203","0,2261356797",0,"0,9944401425","0,9952651532","0,9968113624","0,9980540681","0,7608926939","0,852925813","0,0534560055","0,0559294251","0,2335474486","0,1423393402",0,0,"4628,0277806001","3430,178503462","2468,6425136179",nan,"4139,7137256206","4182,7451476908","3115,6206112015","0,5543697443","0,6513402982","489,9770971329","503,0512913467","397,0412159743","683,3725033401","0,5158869689","0,2916438176","0,2242431513","0,3132801382","0,2718798451","0,2974043569","0,266416103","0,312749328","0,270844808","0,2968247539","0,2657849565"
56,"0,7671695841","0,2305092586","0,0023211573","0,9948505915","0,9957599204","0,9967538538","0,9979728224","0,7556814587","0,8460096872","0,0559481516","0,0592364973","0,2367847829","0,146839062","0,0023843499","0,0029111712","5046,800720157","3761,3002649367","2678,5317426017","2678,5317426017","4495,3956691032","4556,8281024781","3393,9071532937","0,5960566576","0,7025901552","563,4028361341","575,2346386033","527,9418659719","737,0527815817","0,7518625165","0,5377745281","0,2140879884","0,3092880549","0,2754885085","0,2946901492","0,2690005205","0,3087582329","0,2744664651","0,2941609366","0,2683776316"
57,"0,7573642402","0,2352861772","0,0073495825","0,9949466866","0,9958749222","0,9968371408","0,998066848","0,7464568297","0,8342984358","0,0598027549","0,0638331226","0,2409629503","0,1524119515","0,0075269066","0,0091645349","4821,3669305716","3564,5012114979","2552,0303250161","2552,6812195699","4270,7495029553","4336,963058417","3226,8229597845","0,5586825946","0,6587881626","661,1672192019","674,2930925963","610,1906516266","854,0601350143","0,7158793687","0,4774693996","0,2386438638","0,3169011585","0,2777288332","0,3015273401","0,2711195395","0,316572674","0,2767168164","0,3009620803","0,2705043485"
58,"0,7497045588","0,2401018705","0,0101935707","0,9950040864","0,9958958449","0,9970345097","0,9982593457","0,7392396455","0,8288952004","0,0644704537","0,0695558033","0,2453481388","0,1543150128","0,0104163021","0,0126856317","5145,9408620228","3771,1794558253","2704,2850023113","2704,9587994964","4534,8123997728","4616,6235792886","3430,982048543","0,5979770176","0,7047406285","559,2856255023","570,5574048461","511,6847348607","739,0391510364","0,7698140866","0,5280377029","0,2417763837","0,3096030981","0,2797438092","0,2971136249","0,2742356359","0,3092728685","0,2787620538","0,2965938852","0,2736261846"
