period,Total_pensions_pre-2016_cost,Total_net_pensions_pre-2016,Total_pensions_post-2016_cost,Total_net_pensions_post-2016,Total_retirement_benefits_pre-2016,Total_survivors_pensions_pre-2016,Total_retirement_benefits_post-2016,Total_survivors_pensions_post-2016,Total_universal_pensions_cost,Total_net_universal_pensions,Total_thirteenth_month_of_pension_pre-2016_cost,Total_net_thirteenth_month_of_pension_pre-2016,Total_thirteenth_month_of_pension_post-2016_cost,Total_net_thirteenth_month_of_pension_post-2016,Total_thirteenth_month_of_universal_pension_cost,Total_net_thirteenth_month_of_universal_pension
49,17723165.497634973,17030848.99777696,17772907.16274464,17077606.15981695,14760373.412644291,2270475.5851326697,14807130.730526969,2270475.4292899873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,20432011.590546682,19631601.96635949,20492582.210048344,19688538.344618563,16978770.677889176,2652831.288470309,17035707.29105873,2652831.053559828,0.0,0.0,3408711.1189584164,3218068.7065480347,3418806.2214866206,3227558.1022241353,0.0,0.0
51,19812687.64123739,19034784.17548691,19874511.681672785,19092898.768132623,16400865.965609204,2633918.2098777066,16458980.97042732,2633917.7977053043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,21430476.953226864,20587836.881600637,21499017.5068123,20652264.995146174,17683672.20988712,2904164.6717135143,17748100.854608204,2904164.140537969,0.0,0.0,3575085.0651561394,3375853.770745953,3586508.489543647,3386591.7885203143,0.0,0.0
53,18806822.84288674,18068918.205425136,18868150.042165935,18126565.75854727,15429310.692967193,2639607.51245794,15486959.12378117,2639606.634766102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,19390135.585173357,18627425.46887243,19453725.38691983,18687199.866208814,15821083.874603726,2806341.5942687066,15880859.435606766,2806340.4306020425,0.0,0.0,3234743.1904445235,3055230.2085711,3245341.48784459,3065192.6061354163,0.0,0.0
55,18449232.137387004,17722314.47925685,18510915.26664258,17780296.60473706,14999162.675215913,2723151.804040938,15057146.071748171,2723150.532988886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,20192499.808026414,19394620.374306932,20261438.55207693,19459422.77700405,16320157.693237403,3074462.681069525,16384961.379096508,3074461.3979075374,37441.455564882715,36318.21189793623,3368005.427605694,3181655.8023184063,3379495.2153179497,3192456.2007314055,6240.242594147121,6053.0353163227055
57,19316640.970076624,18553250.500726353,19383803.22535413,18616383.006049618,15553541.643790727,2999708.8569356278,15616675.276773391,2999707.729276227,68730.28392938827,66668.37541150663,0.0,0.0,0.0,0.0,0.0,0.0
58,20607681.579327796,19791672.796416245,20680216.466949716,19859855.575746965,16518747.94349415,3272924.8529220973,16586931.891596051,3272923.684150915,105030.48270539222,101879.56822423043,3436880.3960146983,3247503.7809270388,3448969.541286102,3258867.5756940725,17505.080450898706,16979.928037371745
