period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
47,2395975.983970141,858389.6237928179,1258662.055664325,194309.99652011777,0.0,34438.22031907774,25575.872308574788,21235.26005716996,9054.61853826795
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
48,2367141.927,950426.1,1110047.988,212835.0,0.0,16722.375,31630.38,38481.576,9459.5
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
49,2415483.9124346063,767991.2922491985,980594.2835939392,204933.91350566922,368862.1483902122,15501.832368443942,32168.790256631808,35839.74754756969,10996.833621360673
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
50,2137026.917023086,649911.0209574356,1014293.80057292,191787.6185778554,200640.8495443171,7151.515711066684,24359.408142212993,42318.3548262419,8096.033425137803
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
51,2595236.0985082146,895793.976207064,1241085.8040154856,365788.2084657818,0.0,8508.571245666142,34191.997475450364,41163.41678884158,10091.995694589874
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
52,2489833.4483434516,861258.8354479912,1209213.2103027655,344336.21198669175,0.0,6690.119529288092,25196.374166619822,35737.47176520619,8893.177849650401
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
53,2583899.0197851337,615428.7315140155,1078434.1783003374,299239.80106071313,504991.18509242986,4501.698347413723,30434.889325427568,42414.62558888343,9722.809912502069
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
54,2540582.3426038846,1032284.2766142527,1113911.002818938,295387.5546979057,0.0,3854.302522580003,58238.436719490055,30454.2431341969,7800.64855671498
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
55,2260160.2837588666,874812.3142317903,1026307.1134713953,273306.9446497653,0.0,1777.0237697913506,40896.958932756024,39050.45232200553,5144.768433317196
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
56,3672647.9834412127,2070246.5901949888,1096246.4923530996,369314.264784832,0.0,8568.61118442862,69647.5815660837,48611.085593437005,11245.41427643685
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
57,4075327.431896122,1746857.9322223014,1124538.7023765286,346805.59157968464,724494.600097409,8335.75265869501,75029.3133284979,39960.82422393822,10806.402011637601
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
58,3660571.4430815266,2033170.1501410934,1136669.9751464885,374599.39638278267,0.0,8519.48170253121,53543.61762537031,46201.40301170234,9111.681773762724
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
59,3263799.6042165095,1747707.1260001573,1040421.186749697,356359.4542946675,0.0,6636.024396295396,61889.94550086149,40450.540469323445,11527.268357006546
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
60,3757717.7777878093,2080970.503550782,1164503.0246062917,381410.683722766,0.0,8343.462354044204,79243.45320934834,33945.28527448225,10589.136344718181
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
61,4022735.2104660273,1754962.845146203,1096092.3639022368,350617.12473267084,703081.6538418491,7853.4786877567185,61148.705497674724,42013.457636401225,8498.144435898921
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
62,3056383.3730565617,1638175.419482325,987850.3403989709,321941.262226766,0.0,6309.856858325422,52097.08399792746,43497.69417284437,7626.386163138304
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
63,2863843.2645852673,1494769.2784348438,946566.568203509,314241.4670090116,0.0,4770.076203748466,66348.27281361376,29649.608508145353,8595.860717491189
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
64,2934240.614729043,1557852.344508247,947633.940256261,308777.1176969604,0.0,7452.489350287007,67372.11468789435,37952.810486577735,8286.468610710943
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
65,3357089.695899032,1392823.7282657307,951592.8675918861,307784.0559231892,596961.5907081764,9886.65720781686,58643.092813203,33134.3833011442,7651.961621163084
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
66,2961714.213305593,1544755.7959837443,990200.1637328304,310955.35512080527,0.0,9023.812887868855,55735.18579850481,44518.16053338254,7611.432407364151
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
67,2869084.253635638,1513401.2331228992,947888.3545262022,308031.0555825306,0.0,9024.50288732503,53093.57828195183,31985.871651600854,6745.350742035843
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
68,2793522.422982995,1533179.985691179,866511.1482988066,303842.590161048,0.0,6980.724498131917,42209.05972556529,35321.17792798366,6563.429839188365
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
