period,Contributory_pensioners_share,Moratorium_pensioners_share,Retirement_coverage_for_legal_age,Retirement_coverage_65+,All_coverage_legal_age,All_coverage_65+,Contributory_retirement_coverage_legal_age,Contributory_retirement_coverage_65+,Survivors_benefit_coverage_legal_age,Survivors_benefit_coverage_65+,Moratorium_benefit_coverage_legal_age,Moratorium_benefit_coverage_65+,Mean_contributory_retirement_pension,Mean_survivors_benefit,Mean_moratorium_pension,Mean_retirement_pension,Mean_pension_benefit,Median_pension_benefit,Median_pension_to_labour_income_ratio,Mean_pension_to_labour_income_ratio,Mean_family_benefit,Mean_child_benefits,Mean_contributory_child_benefits,Mean_AUH_benefits,Child_benefit_coverage,Contributory_child_benefit_coverage,AUH_coverage,Gini_retirement_age,Gini_retirement_age_non_labour_income,Gini_65+,Gini_65+_non_labour_income,Gini_retirement_age_has_income,Gini_retirement_age_(has)_non_labour_income,Gini_65+_has_income,Gini_65+_(has)_non_labour_income,Total_SIPA_benefits,Total_not_for_26417,
49,0.8215321933624954,0.1784678066375046,0.9920684151036294,0.9926877718643087,0.995154047808336,0.9965081197413773,0.8039698219180218,0.8914363539366043,0.03242870264894994,0.03149501927289214,0.18809859318560768,0.10125141792770435,4471.6088740674086,3362.5055940827851,2432.5537045606175,4107.7031703526654,4083.3710724447378,3103.9936382110554,0.5551767102775292,0.6387482922806026,472.23622150663783,493.43761269870294,381.86368105813949,665.74975609064893,0.6534295583941602,0.36921151280275377,0.2842180455914064,0.2964052537295529,0.25858051396022402,0.27684412198783487,0.25172650989072437,0.29554559977968548,0.25736169588403146,0.27488113334957659,0.24969534011938238,4171375,2083260,2088115
50,0.8130131406785559,0.18698685932144404,0.9921693481917921,0.9928220813054393,0.9952269396805485,0.9965908388763635,0.7959524728282095,0.8843899218156136,0.03679601950609886,0.03611267978026178,0.19621687536358262,0.10843215948982568,5147.5792409639125,3847.5806034790985,2778.5450676414498,4704.6009812691718,4690.484588470058,3560.6124199260744,0.6028104349958419,0.6939384198793572,424.90211145420756,455.78172488157747,246.05546936705258,775.0939041312115,0.6463979683082184,0.371029350737541,0.2753686175706774,0.29461901684885472,0.26100300807390586,0.27933096862558687,0.25441245287117537,0.29392634634879894,0.25979923034262559,0.27742698516493991,0.25244263552590257,4190811,2111020,2079791
51,0.8067960189727076,0.19320398102729242,0.992144583799431,0.9928632811690775,0.9951912075096037,0.9966104068011884,0.7899630142030571,0.8789350891116551,0.04122075200581737,0.04072690879815526,0.2021815695963739,0.11392819205742236,4982.1230124469103,3710.5587432147822,2684.2317987970646,4538.1612820021228,4535.1524711188149,3435.6347194239997,0.5678075150924731,0.6409490990958364,550.00455091117669,568.73818711664308,390.40624023247528,822.47690667722054,0.575421417646121,0.3114916870601476,0.2639297305859734,0.30501443884999446,0.26290264564915117,0.29090036088189947,0.2566982508134279,0.30429762063856503,0.26166718945002321,0.28908609635878613,0.25479647859536614,4209736,2117893,2091843
52,0.7961203694022192,0.20387963059778078,0.9921952069626255,0.9929079499393053,0.9952221971199304,0.9966316222873733,0.7795317643535338,0.8715966607273424,0.044167626757196495,0.04357168717034976,0.2126634426090918,0.1213112892119629,5373.3692978789159,3999.550289405664,2882.1374415423875,4865.4578672756015,4877.2723717823492,3699.3684251712416,0.6099224911832034,0.6889069282602425,521.36395556967057,539.27531319615809,372.01441484782305,809.34640022234862,0.5799159385485513,0.3244344842237198,0.25548145432483144,0.30568278602440713,0.26523838294940372,0.28914793469537864,0.25851012184751693,0.30528208965139852,0.26401479141971196,0.28734059900757775,0.25662488976571912,4231993,2136137,2095856
53,0.7878573719559115,0.21214262804408843,0.9923304892528357,0.9930548392642256,0.9953254952922365,0.9967354657180045,0.7723501362183902,0.8610729283977645,0.048288370178292926,0.04911431307953816,0.21998035303444557,0.13198191086646108,4704.4541843551287,3467.2046643450453,2544.4414236278285,4246.2234006856734,4265.2431439438406,3211.4035648465483,0.5617988394350466,0.6390526005898713,587.50155558814299,601.31868739133211,435.43192314383879,827.78695399957417,0.5341072872854608,0.28332104075668285,0.25078624652877796,0.30872893310789801,0.26604661518608991,0.29150858037461852,0.25938377651585082,0.30817552582772301,0.26463753983170962,0.28979931277600923,0.25759700637475125,4252979,2156551,2096428
54,0.7803971698592481,0.21960283014075185,0.9924209568485249,0.9930558288376732,0.9953966956846823,0.9967093543975514,0.7655922786796013,0.8554964647064416,0.0512867496371448,0.05259112657510623,0.2268286781689236,0.1375593641312316,4839.8480950751964,3547.1607729604325,2602.2968712786424,4348.4755137445709,4375.2304179604507,3293.1618472334412,0.58894757657461,0.6697708947151861,497.15670794982617,513.64978682395849,357.51656706651852,703.81034228771591,0.5126123163978823,0.25651980640373684,0.2560925099941454,0.3032577537821054,0.26767244849960647,0.2875122713956027,0.26052815340282087,0.30236768418467197,0.26633581245546945,0.2857339897585448,0.25868252272998715,4270815,2169425,2101390
55,0.7740447100391112,0.2259552899608888,0.9930248654205681,0.993942425482601,0.9953174079361706,0.9967448804814091,0.7606461616328426,0.8499957971787356,0.05360265940568055,0.054026233872534635,0.2323787037877255,0.14394662830386534,4592.2800128125373,3370.617347549583,2469.0180301974551,4112.5177358678138,4148.9708302744675,3115.6351284804769,0.555081903492519,0.6295326773259261,495.978984786757,506.81944301423272,341.38036547798555,688.76587259653729,0.45244457691663964,0.20404918081903634,0.2483953960976033,0.31449211633467777,0.27039505497693861,0.2955497614200519,0.26237320673103753,0.31392194137017404,0.26907201687321081,0.29381056913295761,0.26055210602108697,4285811,2182740,2103071
56,0.7657414087425196,0.2342585912574804,0.9930628933320702,0.9939936493362409,0.9953429370775192,0.9967724063113137,0.7529836761760513,0.8411169270876031,0.057685246897767155,0.05938615260174999,0.2400792171560189,0.15287672224863777,5009.4463266029006,3681.4742290222921,2679.0208726687397,4463.5241427337096,4518.7357023047052,3393.9260628967681,0.5926005710540513,0.6768072465525099,554.50015855869935,561.87288212317958,495.97808150033069,725.50087965612408,0.7032339883396193,0.46461943215525425,0.23861455618436506,0.31116505012824791,0.27190138611195669,0.2930526141473237,0.2641982338768199,0.310778899290444,0.27078280373716723,0.29132205190215998,0.26239703794363162,4298776,2209654,2089122
57,0.7558655930418238,0.2441344069581762,0.9932002287066926,0.9936238364643472,0.9953813923145323,0.9962788513364229,0.7435349637996888,0.8325290243167152,0.06192898029003055,0.06418152492658699,0.24966526490700383,0.16109481214763197,4778.059000126922,3496.0576908069029,2553.2086230254745,4234.8964727425846,4300.5685599607132,3196.6291266736216,0.5515897704568026,0.6338622841499082,653.48392624143628,660.09068843960029,575.751333447143,850.53090783628829,0.6657612204363861,0.41380408223708565,0.2519571381993004,0.31044541636915129,0.27353640921168404,0.29367648778631156,0.2671756434921021,0.31000083978551873,0.27274317507696122,0.29159167835504629,0.26501261323261277,4327054,2241053,2086001
58,0.7479118940629058,0.25208810593709424,0.9923805852456075,0.9930596765055643,0.9945505684625972,0.9956949575691875,0.7352736620672167,0.8239728297719929,0.06396873808299805,0.06615640210083652,0.25710692317839073,0.1690868467335713,5099.1207563701164,3723.0633832169542,2705.5176646641657,4495.7218866167914,4572.5074210379307,3399.3069465195535,0.5971599227133761,0.67855651046807,539.5080298267718,547.56511276071183,474.50536452645895,736.27499827253575,0.7136211875095165,0.48056308954469,0.23305809796482652,0.30708494162024946,0.27585563258408863,0.29230833534241313,0.26939973169807652,0.30672067903158062,0.27482707881478047,0.29006241493976942,0.2670811088702213,4348531,2259296,2089235
