period,Total_pensions_pre-2016_cost,Total_net_pensions_pre-2016,Total_pensions_post-2016_cost,Total_net_pensions_post-2016,Total_retirement_benefits_pre-2016,Total_survivors_pensions_pre-2016,Total_retirement_benefits_post-2016,Total_survivors_pensions_post-2016,Total_universal_pensions_cost,Total_net_universal_pensions,Total_thirteenth_month_of_pension_pre-2016_cost,Total_net_thirteenth_month_of_pension_pre-2016,Total_thirteenth_month_of_pension_post-2016_cost,Total_net_thirteenth_month_of_pension_post-2016,Total_thirteenth_month_of_universal_pension_cost,Total_net_thirteenth_month_of_universal_pension
49,17715091.29712149,17023151.853301905,17764710.002535623,17069793.433228098,14752676.268174933,2270475.5851269774,14799318.003943805,2270475.4292842946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,20422747.135097377,19622770.7038608,20483176.687965233,19679574.479484096,16969939.80215136,2652830.90170944,17026743.81268514,2652830.6667989576,0.0,0.0,3407167.0425107493,3216617.27416459,3417238.6339333192,3226084.569401395,0.0,0.0
51,19803746.83647926,19026261.304787133,19865434.766804017,19084247.953928843,16392343.747388039,2633917.5573990913,16450330.808702154,2633917.14522669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,21428421.316626456,20585938.19418302,21496839.488126554,20650251.26856602,17680837.580416054,2905100.61376697,17745151.186922077,2905100.0816439423,0.0,0.0,3574743.403093449,3375538.1632102714,3586146.4304663213,3386257.0077904835,0.0,0.0
53,18797781.912175484,18060319.16044887,18858978.2622321,18117843.71530056,15421057.593069369,2639261.5673795054,15478583.026328236,2639260.688972321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,19382726.663388956,18620395.550517224,19446188.46541225,18680049.628110886,15814107.507456549,2806288.0430606743,15873762.749575255,2806286.8785356237,0.0,0.0,3233508.1712693456,3054070.8677643356,3244085.1353816967,3064013.21203788,0.0,0.0
55,18442736.662806485,17716150.331680275,18504303.192506347,17774022.853575025,14992994.55437176,2723155.7773085115,15050868.348172383,2723154.505402641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,20186956.48278687,19389359.49174757,20255770.524499696,19454044.674243495,16314021.882953001,3075337.6087945695,16378708.34956444,3075336.324679054,37448.292796407666,36324.84401251543,3367077.3291073195,3180782.0919669378,3378546.3330959575,3191562.9536793176,6241.382132734611,6054.140668752572
57,19311651.973657012,18548526.856956754,19378703.25602849,18611555.04774461,15547890.348162226,3000636.508794525,15610919.667529197,3000635.3802154106,68744.48413150136,66682.14960755632,0.0,0.0,0.0,0.0,0.0,0.0
58,20639055.893472463,19821653.006043274,20711369.23213616,19889627.528947216,16527188.212595714,3294464.7934475592,16595163.844125599,3294463.684821614,105406.41037662215,102244.21806532348,3442089.4768949575,3252401.9127116078,3454141.697267995,3263730.9980045864,17567.735062770364,17040.70301088725
59,19826927.310303874,19041077.44282328,19898364.49493106,19108228.381665204,15820742.727614416,3220334.715208866,15887894.698806375,3220333.6828588243,153068.2711405668,148476.22300634978,0.0,0.0,0.0,0.0,0.0,0.0
