period,Total_family_benefits,Total_contributive_child_benefits,Total_auh,Total_spouse_benefit,Total_school_aid,Total_wedding_benefit,Total_prenatal_benefit,Total_pregnancy_benefit,Total_birth_benefit
49,2750929.2251350475,769028.3639616373,1366582.467602257,184502.36070171944,338093.9260381865,31526.38233388089,22013.568099541575,31658.693543249054,8628.296033872422
50,2455181.8212604625,718468.830684032,1231803.3987361782,184481.06845266809,238917.3965297955,16137.37500000019,25597.02264396616,31808.907539310872,9265.291311968062
51,2923707.0368363615,910466.2378282875,1557602.2974644909,353426.84650496294,0.0,6805.974822220247,24284.02110989325,65758.7401373864,7077.457631218152
52,2858958.654889759,878683.0197422028,1535671.111513289,330818.74574196845,0.0,7465.779462131445,32137.544116344165,65943.0084288929,9133.71606701352
53,2844826.317356945,618161.0726066973,1327617.8694048552,288300.5769433479,538519.7638851539,4703.516560974296,19008.40473735594,43569.403412167565,6167.413354481122
54,2780853.658073986,1108088.1460543182,1289611.0715166382,290002.73238882015,0.0,2861.164691961579,46370.221427721226,38458.72024159583,6442.3493752320555
55,2407939.209485433,853938.0447551117,1177600.89161778,271080.2515358092,0.0,4411.174717216531,52156.09869068618,43930.59692306549,5548.6806281895215
56,3863955.530472133,2087243.666848968,1266927.3429938557,352122.47501464316,0.0,10318.345857539445,83421.68724241659,56808.43102242905,8850.027952010392
57,4274529.828882534,1793376.1049170932,1275564.1991524252,331296.2590968551,740583.2132215769,7595.625861879128,74668.56043568205,43569.85405930041,9886.994184676681
58,3995359.326634179,2092723.4193861412,1396415.2476931906,360249.4793515151,0.0,8105.131562181632,78400.17374756835,49875.102223614114,11344.422395454067
59,3618281.0710858037,1829687.4309071016,1307829.890588303,340420.90376148466,0.0,8174.873042043255,74018.4512345519,49218.33760251206,10227.225200126808
60,4080316.652792956,2140551.7940504597,1425640.1235194297,361975.55308794265,0.0,9824.816698133664,72620.98026606133,59942.51934690675,10615.631036872473
61,4316977.871034953,1833029.1341388787,1278290.6466996134,333114.24289494083,748928.9333240695,8444.793164731711,77203.22247093059,27483.770834722207,11500.374839071177
62,3230239.543190225,1655219.2366891666,1159494.3468228332,303925.2697100254,0.0,6754.741792313115,63253.12467877428,33527.723313756,8804.968642080687
63,3059805.6041498603,1541307.11814282,1121969.447641511,295570.20263098617,0.0,5991.812974429892,55854.18206918062,32112.61867405363,7332.818280159222
64,3072871.4923285646,1549419.4285748035,1127522.4559644836,291561.85857681883,0.0,7391.0240966334495,55331.91561728989,34933.02806929893,6711.781429236277
65,3675440.2298750086,1533487.5861056824,1092057.9757892087,294341.78241189755,645644.1707695824,7601.379008962169,57849.7634202195,40189.018324964556,5190.272442125694
66,3096808.2461193483,1580619.463319931,1115002.7258074589,297997.97494997195,0.0,8406.263374591395,50750.119782237314,37872.438325963056,7413.852490094359
67,3008407.485622228,1525611.3673863274,1079806.5922334762,297039.7130227458,0.0,7439.919136217,49834.83550361972,41472.648992101225,8221.212851338987
68,3059531.7157787094,1508047.171850011,1126799.564246989,296645.45262180385,0.0,7051.44944238995,58779.130990656035,54913.43547901704,7985.406516508839
69,3591030.452254282,1493113.974039342,1072855.6669819313,293730.97046630265,629888.20946504,8210.648528765518,47684.283475952965,37475.970682235245,8683.614336044982
70,2990981.785232233,1481699.1862841002,1120210.1416302335,289986.8483259971,0.0,6408.714948962068,44517.36602670837,43839.009681795,5470.292464736496
