period,Contributory_pensioners_share,Moratorium_pensioners_share,universal_pensioners_share,retirement_coverage_for_legal_age,retirement_coverage_65+,All_coverage_legal_age,All_coverage_65+,Contributory_retirement_coverage_legal_age,Contributory_retirement_coverage_65+,survivors_benefit_coverage_legal_age,survivors_benefit_coverage_65+,Moratorium_benefit_coverage_legal_age,Moratorium_benefit_coverage_65+,PUAM_coverage_legal_age,PUAM_coverage_65+,Mean_Contributory_retirement_pension,Mean_survivors_benefit,Mean_moratorium_pension,Mean_universal_pension,Mean_retirement_pension,Mean_pension_benefit,Median_pension_benefit,Median_pension_to_labour_income_ratio,Mean_pension_to_labour_income_ratio,Mean_family_benefit,Mean_child_benefits,Mean_Contributory_child_benefits,Mean_AUH_benefits,Child_benefit_coverage,Contributory_child_benefit_coverage,AUH_coverage,Gini_retirement_age,Gini_retirement_age_non_labour_income,Gini_65+,Gini_65+_non_labour_income,Gini_retirement_age_has_income,Gini_retirement_age_(has)_non_labour_income,Gini_65+_has_income,Gini_65+_(has)_non_labour_income
49,0.8228424992195404,0.17715750078045958,0.0,0.9923056780813835,0.99255984190482,0.9955526696018069,0.9965809299870435,0.8055638892036431,0.8927099101771591,0.029215584854770445,0.0281846973986712,0.1867417888777404,0.09984993172766099,0.0,0.0,4471.8489090580679,3331.1163579784352,2432.5537045606015,nan,4110.5724672757215,4070.5050780808801,3103.9936382189135,0.5488118512771593,0.6341392482513291,475.01217806842863,491.97073154279326,383.45043267878378,668.10592733730755,0.6545476224155738,0.37676744615411184,0.277780176261462,0.29683329207559173,0.25785410424613175,0.276348511052737,0.25092836921631745,0.29597582437534753,0.2568859835308806,0.27441608111377302,0.24890916690817239
50,0.8140461834455992,0.1859538165544008,0.0,0.9932391694019601,0.9937249738077127,0.9964577950043066,0.9976936435265583,0.7979147752403566,0.8861216757323076,0.03311014502874968,0.032917964321081565,0.19532439416160347,0.10760329807540508,0.0,0.0,5147.9141869745017,3823.8434640362798,2778.5450676414184,nan,4707.3209564083754,4671.0711256966806,3560.6124200363138,0.6025993012747427,0.6872841484205787,419.02852457907045,447.05063090250752,250.7302744505883,767.13687395399563,0.642320603978518,0.3824506516704788,0.2598699523080391,0.29364423965351982,0.25973267601774336,0.27847663599447431,0.25304780630460399,0.2930616659862682,0.25877545294005355,0.27733108176540006,0.25186187901923895
51,0.8068643784109967,0.19313562158900333,0.0,0.9932928421127301,0.993864830887413,0.9965084753055302,0.997823131491375,0.7910091349449584,0.8797701530321026,0.038771622887424056,0.03951393886517265,0.2022837071677717,0.11409467785531036,0.0,0.0,4991.0480574887706,3698.7353856177315,2684.2317987970882,nan,4545.5196654747333,4527.8354526363764,3435.6347194938298,0.5576767765743332,0.6355667599435293,553.12548151719727,569.83250027018425,385.10984449241204,853.52103886617817,0.5741058366769087,0.3118937677182079,0.26221206895870086,0.30201326576823695,0.26243063836890662,0.2872593333426724,0.2565227630287491,0.30127284726445508,0.26123435518805044,0.28620257696654172,0.25542043458386748
52,0.795861428924396,0.20413857107560396,0.0,0.9933254109553274,0.9939110323115915,0.9965165771287929,0.9978395245888597,0.7802246943349804,0.8724957238001069,0.04373031486692223,0.045077681930285156,0.21310071662034702,0.12141530851148465,0.0,0.0,5390.6610601547854,3986.3910224627493,2881.0787738982826,nan,4878.3585182417364,4877.8869197643908,3699.3274974915462,0.6096360679050379,0.6892380189663558,525.47401141433409,544.81818817329201,367.42410914219005,815.96405748037648,0.5900192471505982,0.31918731080158047,0.2708319363490177,0.30233002811342097,0.26604133659978668,0.28783438773711567,0.25959359713241548,0.30209928258702168,0.26506173866555188,0.28678644725026559,0.25850410076678382
53,0.7876205615111265,0.21237943848887358,0.0,0.9934043013591387,0.99399109319063,0.9965577494968766,0.9978679316308098,0.772973116291561,0.8622066259203154,0.04638998468748762,0.04921282059010942,0.22043118506757775,0.1317844672703146,0.0,0.0,4708.0757572811517,3435.8737931360533,2544.3077322792142,nan,4248.535919111062,4248.168970711582,3211.3983965341549,0.5640366132857865,0.6369534580184274,592.62551017104533,610.88186743366816,432.65667888820525,832.69853944320369,0.5338921861945799,0.26820798319864486,0.2656842029959351,0.30669625414985696,0.26575397362637987,0.28965300337723376,0.25932129789006991,0.30646966381522744,0.264785590337281,0.28869390749694412,0.25832124876592588
54,0.780486801102071,0.21951319889792892,0.0,0.9933955467309602,0.9938702538221139,0.9965329740462345,0.99772653424946,0.7664558218692384,0.8571419108408163,0.05140887817330875,0.054544700220478415,0.22693972486172173,0.13672834298129768,0.0,0.0,4826.5556533155222,3534.6470537165947,2601.9307105673797,nan,4338.221115784756,4356.8356017128945,3293.147691675013,0.5962937224517187,0.6703549320164616,522.7173404014236,538.11436538409259,437.92073479548424,711.59563589950335,0.5929723885871409,0.33985125422917023,0.25312113435797057,0.30195369774638925,0.26633350135325051,0.28413568062600048,0.25904280189633239,0.30147698625267844,0.26543109945045995,0.28307916075872092,0.25794924830046795
55,0.77350342544588,0.22649657455411998,0.0,0.9933320938932222,0.9939408872936801,0.9964478773179642,0.997752731546018,0.7602381978540784,0.8501053676322351,0.05421057524105702,0.05811640926408075,0.23309389603914377,0.1438355196614451,0.0,0.0,4601.8350436920273,3348.1512378383945,2468.6425136179109,nan,4118.6742427658037,4143.1885367794466,3115.6206112015343,0.5634283257027726,0.6336051823623511,511.21752674208699,524.1975708548423,420.27923748164585,689.05503703256136,0.5227734964931834,0.27865638747278487,0.24411710902039857,0.31511893904926347,0.27073970376756723,0.2981582031263833,0.2626392098671031,0.31492036188492456,0.26984891693697172,0.29713433191129934,0.26156352230972318
56,0.7652783239510121,0.23079552286634633,0.0039261531826415156,0.9931680993188298,0.9940788275551381,0.996271111409103,0.9978652696209656,0.7525456565826021,0.841574661476127,0.05502635498334877,0.05872836343271218,0.23659758834158437,0.14759284844783604,0.004024854394643327,0.004911317631175006,5024.4825306995372,3647.5942630948566,2678.5317426016836,2678.5317426016836,4473.837029788765,4504.580031868576,3362.1260825787022,0.5930691892806067,0.6800688868552857,573.31215417644307,576.77566106456959,520.17036313420181,762.98636997360347,0.7816670602550582,0.5392272068887192,0.242439853366339,0.30889063304078457,0.27241339269311682,0.29135065487650896,0.26478561997376165,0.30875294991564084,0.27133038463071751,0.29036875781428906,0.26376691467922908
57,0.7556600209154699,0.23714596181333147,0.00719401727119857,0.9932668817690298,0.9936603064706264,0.996349074408717,0.9974190623737355,0.7433242148434006,0.8332792452176194,0.055793789302414624,0.059989893734693205,0.24258369165924284,0.15140673843904756,0.007358975266386322,0.008974322813959424,4791.0037506955141,3462.5008744283568,2552.6812195698826,2552.6812195698826,4244.0920702558451,4276.1082362741381,3195.9396950456189,0.5618991171447825,0.636465088098918,671.41543857967918,679.67970491378264,619.26188370985892,838.91970197532203,0.7477202709836127,0.4908559163765944,0.2568643546070183,0.31149405047930523,0.27294694392000407,0.29674176943074487,0.26653908322731529,0.31132959148476069,0.27218661612915457,0.29550885624358109,0.26525322037174809
58,0.7486419410782923,0.2411978971289395,0.010160161792768255,0.9925590081858677,0.9932063840396307,0.9956275642389628,0.9969430417292202,0.7360301079695625,0.8264229433011772,0.05911568658837655,0.06365493160440143,0.2461597274835926,0.154156638960695,0.010369172732712706,0.012626801777758559,5114.8365694005925,3661.2918713979648,2704.9587994963476,2704.9587994963476,4509.0943709188878,4548.0183442538219,3398.784243178844,0.5980167966318993,0.6793129143179684,568.85429961624448,580.65206423568657,520.44924920170706,751.95683820853787,0.8083841808289624,0.5424319122594993,0.26595226856946313,0.31071351149944093,0.27528535831228307,0.29629622347693735,0.26861396853450975,0.31065480113188837,0.27428797984626507,0.29489751497607786,0.26716023772653369
